symbol,code,name,sector[wstock : cn : daily]
SH600515,600515,HDJS-海岛建设,--
SH600516,600516,FDTS-方大炭素,--
SH600517,600517,ZXDQ-置信电气,--
SH600518,600518,KMYY-康美药业,--
SH600519,600519,GZMT-贵州茅台,--
SH600520,600520,ZFKJ-中发科技,--
SH600521,600521,HHYY-华海药业,--
SH600522,600522,ZTKJ-中天科技,--
SH600523,600523,GHGF-贵航股份,--
SH600525,600525,CYJT-长园集团,--
SH600526,600526,FDHB-菲达环保,--
SH600527,600527,JNGX-江南高纤,--
SH600528,600528,ZTEJ-中铁二局,--
SH600529,600529,SDYB-山东药玻,--
SH600530,600530,JDAL-交大昂立,--
SH600531,600531,YGJQ-豫光金铅,--
SH600532,600532,HDKY-宏达矿业,--
SH600533,600533,QXJS-栖霞建设,--
SH600535,600535,TSL-天士力,--
SH600536,600536,ZGRJ-中国软件,--
SH600537,600537,YJGD-亿晶光电,--
SH600538,600538,GFGF-国发股份,--
SH600539,600539,STST-*ST狮头,--
SH600540,600540,XSGF-新赛股份,--
SH600543,600543,MGGF-莫高股份,--
SH600545,600545,XJCJ-新疆城建,--
SH600546,600546,SMGJ-山煤国际,--
SH600547,600547,SDHJ-山东黄金,--
SH600548,600548,SGS-深高速,--
SH600549,600549,XMWY-厦门钨业,--
SH600550,600550,BBDQ-保变电气,--
SH600551,600551,SDCB-时代出版,--
SH600552,600552,FXKJ-方兴科技,--
SH600555,600555,JLS-九龙山,--
SH600556,600556,HQKJ-慧球科技,--
SH600557,600557,KYYY-康缘药业,--
SH600558,600558,DXY-大西洋,--
SH600559,600559,LBGJ-老白干酒,--
SH600560,600560,JZTZ-金自天正,--
SH600561,600561,JXCY-江西长运,--
SH600562,600562,GRKJ-国睿科技,--
SH600563,600563,FLDZ-法拉电子,--
SH600565,600565,DMGF-迪马股份,--
SH600566,600566,JCYY-济川药业,--
SH600567,600567,SYZY-山鹰纸业,--
SH600568,600568,ZZKG-中珠控股,--
SH600569,600569,AYGT-安阳钢铁,--
SH600570,600570,HSDZ-恒生电子,--
SH600571,600571,XYD-信雅达,--
SH600572,600572,KEB-康恩贝,--
SH600573,600573,HQPJ-惠泉啤酒,--
SH600575,600575,WJWL-皖江物流,--
SH600576,600576,WHWJ-万好万家,--
SH600577,600577,JDGF-精达股份,--
SH600578,600578,JNDL-京能电力,--
SH600579,600579,THY-天华院,--
SH600580,600580,WLDQ-卧龙电气,--
SH600581,600581,BYGT-八一钢铁,--
SH600582,600582,TDKJ-天地科技,--
SH600583,600583,HYGC-海油工程,--
SH600584,600584,CDKJ-长电科技,--
SH600585,600585,HLSN-海螺水泥,--
SH600586,600586,JJKJ-金晶科技,--
SH600587,600587,XHYL-新华医疗,--
SH600588,600588,YYWL-用友网络,--
SH600589,600589,GDRT-广东榕泰,--
SH600590,600590,THKJ-泰豪科技,--
SH600592,600592,LXGF-龙溪股份,--
SH600593,600593,DLSY-大连圣亚,--
SH600594,600594,YBZY-益佰制药,--
SH600595,600595,ZFSY-中孚实业,--
SH600596,600596,XAGF-新安股份,--
SH600597,600597,GMRY-光明乳业,--
SH600598,600598,BDH-北大荒,--
SH600599,600599,XMJK-熊猫金控,--
SH600600,600600,QDPJ-青岛啤酒,--
SH600601,600601,FZKJ-方正科技,--
SH600602,600602,YDDZ-仪电电子,--
SH600603,600603,DZXY-大洲兴业,--
SH600604,600604,SBGX-市北高新,--
SH600605,600605,HTNY-汇通能源,--
SH600606,600606,JFTZ-金丰投资,--
SH600608,600608,STHK-*ST沪科,--
SH600609,600609,JBQC-金杯汽车,--
SH600610,600610,STZY-*ST中毅,--
SH600611,600611,DZJT-大众交通,--
SH600612,600612,LFX-老凤祥,--
SH600613,600613,SQZY-神奇制药,--
SH600614,600614,DLGF-鼎立股份,--
SH600615,600615,FHGF-丰华股份,--
SH600616,600616,JFJY-金枫酒业,--
SH600617,600617,GXNY-国新能源,--
SH600618,600618,LJHG-氯碱化工,--
SH600619,600619,HLGF-海立股份,--
SH600620,600620,TCGF-天宸股份,--
SH600621,600621,HXGF-华鑫股份,--
SH600622,600622,JBJT-嘉宝集团,--
SH600623,600623,SQGF-双钱股份,--
SH600624,600624,FDFH-复旦复华,--
SH600626,600626,SDGF-申达股份,--
SH600628,600628,XSJ-新世界,--
SH600629,600629,LGSY-棱光实业,--
SH600630,600630,LTGF-龙头股份,--
SH600633,600633,ZBCM-浙报传媒,--
SH600634,600634,ZJKG-中技控股,--
SH600635,600635,DZGY-大众公用,--
SH600636,600636,SAF-三爱富,--
SH600637,600637,BST-百视通,--
SH600638,600638,XHP-新黄浦,--
SH600639,600639,PDJQ-浦东金桥,--
SH600640,600640,HBKG-号百控股,--
SH600641,600641,WYQY-万业企业,--
SH600642,600642,SNGF-申能股份,--
SH600643,600643,AJGF-爱建股份,--
SH600644,600644,STLD-*ST乐电,--
SH600645,600645,ZYXH-中源协和,--
SH600647,600647,TDCY-同达创业,--
SH600648,600648,WGQ-外高桥,--
SH600649,600649,CTKG-城投控股,--
SH600650,600650,JJTZ-锦江投资,--
SH600651,600651,FLYX-飞乐音响,--
SH600652,600652,YJYX-游久游戏,--
SH600653,600653,SHKG-申华控股,--
SH600654,600654,ZAX-中安消,--
SH600655,600655,YYSC-豫园商城,--
SH600656,600656,STBY-*ST博元,--
SH600657,600657,XDDC-信达地产,--
SH600658,600658,DZC-电子城,--
SH600660,600660,FYBL-福耀玻璃,--
SH600661,600661,XNY-新南洋,--
SH600662,600662,QSKG-强生控股,--
SH600663,600663,LJZ-陆家嘴,--
SH600664,600664,HYGF-哈药股份,--
SH600665,600665,TDY-天地源,--
SH600666,600666,XNYY-西南药业,--
SH600667,600667,TJSY-太极实业,--
SH600668,600668,JFJT-尖峰集团,--
SH600671,600671,TMYY-天目药业,--
SH600673,600673,DYGK-东阳光科,--
SH600674,600674,CTNY-川投能源,--
SH600675,600675,ZHQY-中华企业,--
SH600676,600676,JYGF-交运股份,--
SH600677,600677,HTTX-航天通信,--
SH600678,600678,SCJD-四川金顶,--
SH600679,600679,JSKF-金山开发,--
SH600680,600680,SHPT-上海普天,--
SH600681,600681,WHJT-万鸿集团,--
SH600682,600682,NJXB-南京新百,--
SH600683,600683,JTYT-京投银泰,--
SH600684,600684,ZJSY-珠江实业,--
SH600685,600685,GCGJ-广船国际,--
SH600686,600686,JLQC-金龙汽车,--
SH600687,600687,GTKG-刚泰控股,--
SH600688,600688,SHSH-上海石化,--
SH600689,600689,SHSM-上海三毛,--
SH600690,600690,QDHE-青岛海尔,--
SH600691,600691,STYH-*ST阳化,--
SH600692,600692,YTGF-亚通股份,--
SH600693,600693,DBJT-东百集团,--
SH600694,600694,DSGF-大商股份,--
SH600695,600695,LTTZ-绿庭投资,--
SH600696,600696,DLGF-多伦股份,--
SH600697,600697,OYJT-欧亚集团,--
SH600698,600698,HNTY-湖南天雁,--
SH600699,600699,JSDZ-均胜电子,--
SH600701,600701,GDGX-工大高新,--
SH600702,600702,TPSD-沱牌舍得,--
SH600703,600703,SAGD-三安光电,--
SH600704,600704,WCZD-物产中大,--
SH600705,600705,ZHZB-中航资本,--
SH600706,600706,QJWL-曲江文旅,--
SH600707,600707,CHGF-彩虹股份,--
SH600708,600708,HBGF-海博股份,--
SH600710,600710,STCL-*ST常林,--
SH600711,600711,STKY-盛屯矿业,--
SH600712,600712,NNBH-南宁百货,--
SH600713,600713,NJYY-南京医药,--
SH600714,600714,JRKY-金瑞矿业,--
SH600715,600715,STSL-*ST松辽,--
SH600716,600716,FHGF-凤凰股份,--
SH600717,600717,TJG-天津港,--
SH600718,600718,DRJT-东软集团,--
SH600719,600719,DLRD-大连热电,--
SH600720,600720,QLS-祁连山,--
SH600721,600721,BHC-百花村,--
SH600722,600722,STJH-*ST金化,--
SH600723,600723,SSGF-首商股份,--
SH600724,600724,NBFD-宁波富达,--
SH600725,600725,YWGF-云维股份,--
SH600726,600726,HDNY-华电能源,--
SH600727,600727,LBHG-鲁北化工,--
SH600728,600728,JDKJ-佳都科技,--
SH600729,600729,CQBH-重庆百货,--
SH600730,600730,ZGGK-中国高科,--
SH600731,600731,HNHL-湖南海利,--
SH600732,600732,STXM-*ST新梅,--
SH600733,600733,SQF-S前锋,--
SH600734,600734,SDJT-实达集团,--
SH600735,600735,XHJ-新华锦,--
SH600736,600736,SZGX-苏州高新,--
SH600737,600737,ZLTH-中粮屯河,--
SH600738,600738,LZMB-兰州民百,--
SH600739,600739,LNCD-辽宁成大,--
SH600740,600740,SXJH-山西焦化,--
SH600741,600741,HYQC-华域汽车,--
SH600742,600742,YQFW-一汽富维,--
SH600743,600743,HYDC-华远地产,--
SH600744,600744,HYDL-华银电力,--
SH600745,600745,ZYGF-中茵股份,--
SH600746,600746,JSSP-江苏索普,--
SH600747,600747,DLKG-大连控股,--
SH600748,600748,SSFZ-上实发展,--
SH600749,600749,XZLY-西藏旅游,--
SH600750,600750,JZYY-江中药业,--
SH600751,600751,TJHY-天津海运,--
SH600753,600753,DFYX-东方银星,--
SH600754,600754,JJGF-锦江股份,--
SH600755,600755,XMGM-厦门国贸,--
SH600756,600756,LCRJ-浪潮软件,--
SH600757,600757,CJCM-长江传媒,--
SH600758,600758,HYNY-红阳能源,--
SH600759,600759,ZJYQ-洲际油气,--
SH600760,600760,ZHHB-中航黑豹,--
SH600761,600761,AHHL-安徽合力,--
SH600763,600763,TCYL-通策医疗,--
SH600764,600764,ZDGT-中电广通,--
SH600765,600765,ZHZJ-中航重机,--
SH600766,600766,YCHJ-园城黄金,--
SH600767,600767,YSSY-运盛实业,--
SH600768,600768,NBFB-宁波富邦,--
SH600769,600769,XLDY-祥龙电业,--
SH600770,600770,ZYGF-综艺股份,--
SH600771,600771,GYY-广誉远,--
SH600773,600773,XZCT-西藏城投,--
SH600774,600774,HSJT-汉商集团,--
SH600775,600775,NJXM-南京熊猫,--
SH600776,600776,DFTX-东方通信,--
SH600777,600777,XCSY-新潮实业,--
SH600778,600778,YHJT-友好集团,--
SH600779,600779,STSJ-*ST水井,--
SH600780,600780,TBNY-通宝能源,--
SH600781,600781,FRYY-辅仁药业,--
SH600782,600782,XGGF-新钢股份,--
SH600783,600783,LXCT-鲁信创投,--
SH600784,600784,LYTZ-鲁银投资,--
