symbol,code,name,sector[wstock : cn : daily]
SZ000882,000882,HLGF-华联股份,--
SZ000883,000883,HBNY-湖北能源,--
SZ000885,000885,TLSN-同力水泥,--
SZ000886,000886,HNGS-海南高速,--
SZ000887,000887,ZDGF-中鼎股份,--
SZ000888,000888,EMS-峨眉山Ａ,--
SZ000889,000889,MYWL-茂业物流,--
SZ000890,000890,FES-法尔胜,--
SZ000892,000892,XMLH-星美联合,--
SZ000893,000893,DLLY-东凌粮油,--
SZ000895,000895,SHFZ-双汇发展,--
SZ000897,000897,JBFZ-津滨发展,--
SZ000898,000898,AGGF-鞍钢股份,--
SZ000899,000899,GNGF-赣能股份,--
SZ000900,000900,XDTZ-现代投资,--
SZ000901,000901,HTKJ-航天科技,--
SZ000902,000902,XYF-新洋丰,--
SZ000903,000903,YNDL-云内动力,--
SZ000905,000905,XMGW-厦门港务,--
SZ000906,000906,WCZT-物产中拓,--
SZ000908,000908,TYKJ-天一科技,--
SZ000909,000909,SYKJ-数源科技,--
SZ000910,000910,DYKJ-大亚科技,--
SZ000911,000911,NNTY-南宁糖业,--
SZ000912,000912,ZTH-泸天化,--
SZ000913,000913,QJMT-钱江摩托,--
SZ000915,000915,SDHT-山大华特,--
SZ000916,000916,HBGS-华北高速,--
SZ000917,000917,DGCM-电广传媒,--
SZ000918,000918,JKC-嘉凯城,--
SZ000919,000919,JLYY-金陵药业,--
SZ000920,000920,NFHT-南方汇通,--
SZ000921,000921,HXKL-海信科龙,--
SZ000922,000922,JDGF-佳电股份,--
SZ000923,000923,HBXG-河北宣工,--
SZ000925,000925,ZHJD-众合机电,--
SZ000926,000926,FXGF-福星股份,--
SZ000927,000927,YQXL-一汽夏利,--
SZ000928,000928,ZGGJ-中钢国际,--
SZ000929,000929,LZHH-兰州黄河,--
SZ000930,000930,ZLSH-中粮生化,--
SZ000931,000931,ZGC-中关村,--
SZ000932,000932,HLGT-华菱钢铁,--
SZ000933,000933,SHGF-神火股份,--
SZ000935,000935,SCSM-四川双马,--
SZ000936,000936,HXGF-华西股份,--
SZ000937,000937,JZNY-冀中能源,--
SZ000938,000938,ZGGF-紫光股份,--
SZ000939,000939,KDDL-凯迪电力,--
SZ000948,000948,NTXX-南天信息,--
SZ000949,000949,XXHX-新乡化纤,--
SZ000950,000950,JFHG-建峰化工,--
SZ000951,000951,ZGZQ-中国重汽,--
SZ000952,000952,GJYY-广济药业,--
SZ000953,000953,HCHG-河池化工,--
SZ000955,000955,XLKG-欣龙控股,--
SZ000957,000957,ZTKC-中通客车,--
SZ000958,000958,DFNY-东方能源,--
SZ000959,000959,SGGF-首钢股份,--
SZ000960,000960,XYGF-锡业股份,--
SZ000961,000961,ZNJS-中南建设,--
SZ000962,000962,DFZY-东方钽业,--
SZ000963,000963,HDYY-华东医药,--
SZ000965,000965,TBJJ-天保基建,--
SZ000966,000966,CYDL-长源电力,--
SZ000967,000967,SFGK-上风高科,--
