symbol,code,name,sector[shareinvestor : sg : daily]
5HC.SI,5HC,Ntegrator International Ltd.,IT Services,Software and Services
5HG.SI,5HG,Edition Ltd.,Software,Software and Services
5HH.SI,5HH,Sinjia Land Limited,Chemicals,Materials
5HJ.SI,5HJ,Cityneon Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
5HT.SI,5HT,Imperium Crown Limited,Real Estate Management and Development,Real Estate
5HV.SI,5HV,Koh Brothers Eco Engineering Limited,Construction and Engineering,Capital Goods
5I0.SI,5I0,QT Vascular Ltd.,Healthcare Equipment and Supplies,Healthcare Equipment and Services
5I1.SI,5I1,KOP Limited,Media,Media
5I4.SI,5I4,ICP Ltd.,Marine,Transportation
5IB.SI,5IB,China Medical (International) Group Limited,Trading Companies and Distributors,Capital Goods
5IC.SI,5IC,Sing Holdings Limited,Real Estate Management and Development,Real Estate
5IE.SI,5IE,Lorenzo International Limited,Household Durables,Consumer Durables and Apparel
5IF.SI,5IF,Natural Cool Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
5IG.SI,5IG,Gallant Venture Ltd.,Industrial Conglomerates,Capital Goods
5JK.SI,5JK,Hiap Hoe Limited,Real Estate Management and Development,Real Estate
5JS.SI,5JS,Indofood Agri Resources Ltd.,Food Products,Food | Beverage and Tobacco
5KI.SI,5KI,Soup Restaurant Group Limited,Hotels | Restaurants and Leisure,Consumer Services
5LE.SI,5LE,Sitra Holdings (International) Limited,Distributors,Retailing
5LY.SI,5LY,Marco Polo Marine Ltd.,Marine,Transportation
5MD.SI,5MD,Soon Lian Holdings Limited,Trading Companies and Distributors,Capital Goods
5ME.SI,5ME,Ezion Holdings Limited,Energy Equipment and Services,Energy
5ML.SI,5ML,Old Chang Kee Ltd.,Food Products,Food | Beverage and Tobacco
5MM.SI,5MM,Resources Prima Group Limited,Oil | Gas and Consumable Fuels,Energy
5MQ.SI,5MQ,Epicentre Holdings Limited,Specialty Retail,Retailing
5MS.SI,5MS,Memstar Technology Ltd.,Chemicals,Materials
5MZ.SI,5MZ,Kingsmen Creatives Ltd.,Professional Services,Commercial and Professional Services
5NF.SI,5NF,Mencast Holdings Ltd.,Energy Equipment and Services,Energy
5NG.SI,5NG,Healthway Medical Corporation Limited,Healthcare Providers and Services,Healthcare Equipment and Services
5NK.SI,5NK,Artivision Technologies Ltd.,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
