40A.SI,40A,IPS Securex,--
40B.SI,40B,SMJ Intl,--
40D.SI,40D,Starburst,--
40E.SI,40E,Spackman,--
40F.SI,40F,Alliance Mineral,--
40I.SI,40I,Terratech,--
40N.SI,40N,Versalink,--
40R.SI,40R,Serrano,--
40S.SI,40S,Perennial Hldgs,--
40T.SI,40T,ISEC,--
40U.SI,40U,MS Hldgs,--
40V.SI,40V,Singapore-eDev,--
40W.SI,40W,ZICO Hldgs,--
41A.SI,41A,UG Healthcare,--
41B.SI,41B,Huationg Global,--
41C.SI,41C,MM2 Asia,--
GJ8.SI,GJ8,Dukang,--
GU5.SI,GU5,ChinaKundaTech^,--
H02.SI,H02,Haw Par,--
H06.SI,H06,Hor Kew,--
H07.SI,H07,Stamford Land,--
H12.SI,H12,Hotel Royal,--
H13.SI,H13,Ho Bee Land,--
H15.SI,H15,HPL,--
H16.SI,H16,HuanHsin^,--
H17.SI,H17,Hi-P,--
H18.SI,H18,Hotel Grand,--
H19.SI,H19,Hwa Hong,--
H20.SI,H20,Hoe Leong,--
H22.SI,H22,Hong Leong Asia,--
H27.SI,H27,HLH,--
H30.SI,H30,Hong Fok,--
H64.SI,H64,HTL Intl,--
H73.SI,H73,HupSteel,--
H78.SI,H78,HongkongLand USD,--
I03.SI,I03,Informatics,--
I04.SI,I04,Xpress,--
I06.SI,I06,Intraco,--
I07.SI,I07,ISDN,--
I11.SI,I11,IPCO Intl,--
I12.SI,I12,IPC Corp,--
I15.SI,I15,Isetan,--
I26.SI,I26,InnoPac,--
I49.SI,I49,IFS Capital,--
I4R.SI,I4R,Inch Kenneth,--
I4U.SI,I4U,China Gaoxian,--
I54.SI,I54,Fabchem China,--
I5H.SI,I5H,Great Group,--
I85.SI,I85,Hengxin Tech,--
I9T.SI,I9T,Ziw,--
IW5.SI,IW5,Seroja Inv,--
IX2.SI,IX2,PEC,--
J03.SI,J03,Jadason,--
J10.SI,J10,Jaya,--
J11.SI,J11,Jacks Intl,--
J16.SI,J16,GSH,--
J17.SI,J17,Jackspeed,--
J18.SI,J18,China Jishan,--
J2T.SI,J2T,Hock Lian Seng,--
J36.SI,J36,JMH USD,--
J37.SI,J37,JSH USD,--
J69U.SI,J69U,Frasers Cpt Tr,--
J7X.SI,J7X,Tigerair,--
J85.SI,J85,CDL HTrust,--
J8O.SI,J8O,Ryobi Kiso,--
J91U.SI,J91U,Cambridge Ind Tr,--
JA9.SI,JA9,Changjiang Fert,--
K01.SI,K01,K1 Ventures,--
K03.SI,K03,Khong Guan Flour,--
K11.SI,K11,Keppel T&amp;T,--
K14.SI,K14,Kingboard Copper,--
K17.SI,K17,Keppel Land,--
K1Q.SI,K1Q,TTJ,--
K22.SI,K22,Kian Ho Bearings,--
K29.SI,K29,Karin Tech,--
K2LU.SI,K2LU,Cache Log Trust,--
K2M.SI,K2M,Debao Property,--
K2N.SI,K2N,China Minzhong,--
K2P.SI,K2P,Tiong Seng,--
K6J.SI,K6J,Global Palm Res,--
K6S.SI,K6S,Prudential USD,--
K71U.SI,K71U,Keppel Reit,--
K75.SI,K75,Koh Bros,--
KF4.SI,KF4,Sin Heng Mach,--
KI3.SI,KI3,Hu An Cable,--
KJ5.SI,KJ5,BBR,--
KJ9.SI,KJ9,Cogent,--
KT9.SI,KT9,Qingmei,--
KU3.SI,KU3,Golden Ocean,--
L02.SI,L02,Manhattan Res,--
L03.SI,L03,Lian Beng,--
L05.SI,L05,Lafe,--
L08.SI,L08,Lion Asiapac,--
L09.SI,L09,Lung Kee Bermuda,--
L10.SI,L10,LHT,--
L15.SI,L15,L-Jacoberg,--
L17.SI,L17,LTC Corp,--
L18.SI,L18,HL Global Ent^,--
L19.SI,L19,Lum Chang,--
L20.SI,L20,LifeBrandz,--
L22.SI,L22,LANKom Elec^,--
L23.SI,L23,Enviro-Hub,--
L25.SI,L25,Lee Kim Tah,--
L28.SI,L28,Longcheer,--
L34.SI,L34,Luxking,--
L38.SI,L38,LCD Global Inv,--
L46.SI,L46,Luzhou Bio-Chem,--
L5I.SI,L5I,Abterra,--
L6T.SI,L6T,PSL,--
LG2U.SI,LG2U,Forterra Trust,--
LH4U.SI,LH4U,Keppel Infra Tr,--
LJ3.SI,LJ3,OUE,--
LS9.SI,LS9,Leader Env,--
M01.SI,M01,Metro,--
M03.SI,M03,Miyoshi^,--
M04.SI,M04,Man Oriental USD,--
M05.SI,M05,MTQ,--
M06.SI,M06,Multi-Chem,--
M09.SI,M09,S i2i,--
M11.SI,M11,MFG Integration,--
M12.SI,M12,Maruwa Yen1k,--
M14.SI,M14,InnoTek,--
M15.SI,M15,Matex Intl^,--
M1GU.SI,M1GU,Sabana Reit,--
M1P.SI,M1P,Amtek Engg,--
M1Z.SI,M1Z,TEE Intl,--
M20.SI,M20,Murata Yen1k,--
M22.SI,M22,LottVision,--
M26.SI,M26,Memtech Intl,--
M30.SI,M30,Meghmani SDS,--
M35.SI,M35,Wheelock Prop,--
M41.SI,M41,Macquarie Intl,--
M44U.SI,M44U,Mapletree Log Tr,--
M9F.SI,M9F,XMH,--
MC0.SI,MC0,Global Logistic,--
MC7.SI,MC7,Yamada Green Res,--
ME8U.SI,ME8U,Mapletree Ind Tr,--
MF5.SI,MF5,Anchun Intl,--
MF6.SI,MF6,Mun Siong Engg,--
MN5.SI,MN5,Xinren Aluminium,--
MQ4.SI,MQ4,Bund Center,--
MR7.SI,MR7,Nordic,--
MR8.SI,MR8,Novo^,--
MS7.SI,MS7,Vard,--
MT1.SI,MT1,Dragon,--
MV4.SI,MV4,Mewah Intl,--
N01.SI,N01,NeraTel,--
N02.SI,N02,NSL,--
N03.SI,N03,NOL,--
N08.SI,N08,New Toyo,--
N0L.SI,N0L,EastGate Tech,--
N0Z.SI,N0Z,Combine Will,--
N14.SI,N14,M Development,--
N21.SI,N21,Noble,--
N2IU.SI,N2IU,Mapletree Com Tr,--
N32.SI,N32,Nippecraft^,--
N33.SI,N33,Nomura Yen1k,--
N4E.SI,N4E,Nam Cheong,--
N9LU.SI,N9LU,Perennial CRT,--
NC2.SI,NC2,Sri Trang Agro,--
NC9.SI,NC9,MSC,--
ND8U.SI,ND8U,Frasers Com Tr,--
NF1.SI,NF1,Sapphire,--
NI3.SI,NI3,UE E&amp;C,--
NO4.SI,NO4,Dyna-Mac,--
NR7.SI,NR7,Raffles Edu,--
NS8U.SI,NS8U,HPH Trust USD,--
NT1.SI,NT1,Hotung Inv,--
O02.SI,O02,OGL Resources A$,--
O05.SI,O05,Ocean Sky Intl,--
O08.SI,O08,Ossia Intl,--
O10.SI,O10,Far East Orchard,--
O23.SI,O23,OSIM Intl,--
O2F.SI,O2F,Swing Media Tech,--
O2I.SI,O2I,AVIC,--
O2R.SI,O2R,ChinaSing Inv^,--
O32.SI,O32,Olam Intl,--
O39.SI,O39,OCBC Bank,--
O5RU.SI,O5RU,AIMSAMP Cap Reit,--
O6Z.SI,O6Z,Lonza,--
O9E.SI,O9E,Parkson Retail,--
ON7.SI,ON7,Weiye,--
OU8.SI,OU8,Centurion,--
OV8.SI,OV8,Sheng Siong,--
P01.SI,P01,Poh Tiong Choon,--
P07.SI,P07,PNE Industries,--
P11.SI,P11,Pacific Andes,--
P12.SI,P12,Powermatic Data,--
P13.SI,P13,Penguin Intl,--
P15.SI,P15,Pacific Century,--
P19.SI,P19,PCI,--
P29.SI,P29,Popular,--
P30.SI,P30,UniFiber System,--
P31.SI,P31,Pharmesis Intl,--
P34.SI,P34,Petra Foods,--
P36.SI,P36,Pan Hong Prop,--
P40U.SI,P40U,StarhillGbl Reit,--
P47.SI,P47,Pacific Hc^,--
