date,transaction,volume,amount,pe,market value,negotiable value,exchange rate
2012-12-21,445.6132,1039270.5486,849.75518364,11.655,150440.1220923752,126599.7662212884,0.5338
2012-12-24,343.1616,794204.5604,685.5366795,11.686,150840.8685774838,127082.4491419655,0.4054
2012-12-25,558.1669,1449547.6994,1159.72242401,11.986,154688.732576868,130401.0592657103,0.7441
2012-12-26,510.3844,1232640.1674,979.07164029,12.015,155079.9388617404,130760.9088862186,0.6301
2012-12-27,540.047,1297330.5023,1007.11977964,11.942,154155.0593762109,130074.7694295188,0.666
2012-12-28,475.1062,1165015.6718,924.51291636,12.099,156164.7869954664,131767.0662670534,0.5985
2012-12-31,501.342,1287692.2354,1058.72563606,12.296,158698.4376341775,134294.4486880586,0.6591
2013-01-04,533.3604,1401297.192,1150.0109092,12.339,159248.3920564928,134661.8423239628,0.7149
2013-01-07,472.915,1191525.2669,974.88595625,12.382,159833.9345444565,135487.9334915112,0.607
2013-01-08,536.5768,1233325.8899,1066.36337085,12.332,159207.749186783,134905.2613918945,0.6291
2013-01-09,533.0435,1231587.6705,1035.70004149,12.328,159168.9849030299,134909.5070567453,0.6263
2013-01-10,504.1215,1210951.1417,987.51876678,12.398,160073.5534800025,135425.6294650031,0.6179
2013-01-11,546.5609,1258420.8005,1019.45851785,12.182,157274.4385097701,133018.6746591499,0.6408
2013-01-14,592.1109,1459808.6785,1243.27229714,12.558,162156.0320788127,137175.9123887486,0.7449
2013-01-15,696.7206,1663200.7905,1414.84135498,12.637,163205.8934244811,137915.4175575327,0.8484
2013-01-16,685.9769,1550951.8083,1342.74505758,12.548,162070.2124315508,136979.6954555811,0.7905
2013-01-17,543.6316,1194047.4451,1033.97295421,12.413,160344.5946105758,135457.3107311642,0.6095
2013-01-18,528.9488,1266278.4777,1061.79957016,12.588,162603.0604203445,137456.1802706398,0.6463
2013-01-21,561.1388,1357535.1405,1135.4803555,12.646,163386.1164847198,138101.4219712931,0.6913
2013-01-22,635.7095,1496917.3271,1235.3133926,12.576,162477.4053041054,137401.1841386761,0.7636
2013-01-23,494.797,1186534.6924,971.82692091,12.608,162882.5153127912,137697.5063873949,0.6039
2013-01-24,660.1977,1620704.5337,1364.80047826,12.511,161600.503911761,136612.5510200777,0.827
2013-01-25,423.548,931958.4611,806.74125605,12.449,160807.8836028566,135972.8112166006,0.4746
2013-01-28,520.3402,1291198.9238,1174.43431803,12.75,164682.7294740788,139191.5731124027,0.658
2013-01-29,581.432,1424242.5809,1253.09080626,12.819,165558.018683637,139930.6686972649,0.7265
2013-01-30,585.0609,1503811.5645,1250.24094977,12.956,167289.8996809395,141310.1926634152,0.7661
